ympts_id	original_id	type	form_1	tone_1	gloss_1	form_2	tone_2	gloss_2	form_3	tone_3	gloss_3	minimal_diff	three_way	corpus_source	native_verified	neutralization_risk	verification_note
YMPTS-C-024	YMPTS-C-003	C	ló	H	was	lọ	M	to go; directional marker (mid tone, ọ vowel)	lo	M	to use; to pass by (mid tone, o vowel, undiacritized)	tone+vowel_quality	Y	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-C-025	YMPTS-C-004	C	ilé	H	house; home; building (high tone, e vowel)	ilẹ̀	L	earth; ground; floor; land (low tone, ẹ vowel)	ilẹ	M	ilẹ̀ (earth, ground)	tone+vowel_quality	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-C-026	YMPTS-C-007	C	ohun	M	thing; object; matter (mid tone, o vowel)	ọ̀hún	LH	there	ohùn	L	voice; sound (mid-low tone, o vowel, variant)	tone+vowel_quality	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-C-027	YMPTS-C-008	C	yọ	M	to emerge; to escape; to be joyful (mid tone, ọ vowel)	yó	H	will (future aspect); to be satiated (high tone, o vowel)	yọ̀	L	to slip; to fall; to rejoice	tone+vowel_quality	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-C-028	YMPTS-C-009	C	ọjọ́	H	day; daytime; calendar day (ọ vowel, high-high tone)	òjò	LL	rain; rainfall; precipitation (o vowel, low-low tone)	òjó	LH	personal name	tone+vowel_quality	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-C-029	B3-C-008	C	ìtúmọ̀	LHL	meaning; interpretation — ọ vowel	ìtumọ̀	LL	meaning (o vowel, undiacritized variant)				tone+vowel_quality	N	batch3	1	N	Adjudicated.
YMPTS-C-030	YMPTS-C-005	C	kò	L	negative auxiliary; it is not (low tone, o vowel)	kọ	M	to build; to write; to learn (mid tone, ọ vowel)	kó	H	to gather; to collect; to pack up (high tone)	tone+vowel_quality	Y	merged	1	N	Adjudicated.
YMPTS-C-031	YMPTS-C-006	C	ló	H	went; grounded (high tone, o vowel)	lọ	M	to go; directional marker (mid tone, ọ vowel)	lo	M	to use; to pass by (mid tone, o vowel, undiacritized)	tone+vowel_quality	Y	merged	1	N	Adjudicated.
YMPTS-D-001	YMPTS-D-001	D	ṣe	M	to do; to make; to happen; to perform (post-alveolar ṣ)	se	M	Sè (to boil; to cook by boiling)	ṣé	H	did; question marker; emphatic (post-alveolar ṣ, high tone)	consonant_s_vs_sh	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-002	YMPTS-D-002	D	sun	M	Sùn (to sleep)	ṣun	M	to pinch; to take little by little; calmly				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-003	YMPTS-D-003	D	sibi	M	to the place; to a certain place	ṣibi	M	Ṣíbí (spoon)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-004	YMPTS-D-004	D	isa	M	hole; rat's hole; burrow	iṣa	M	Ìṣa (pitcher; stale; tide)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-005	YMPTS-D-005	D	esi	M	Èsì (answer; reply; response)	eṣi	M	Èṣì (mistake; accident; error)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-006	YMPTS-D-006	D	ose	M	Òsè (paint)	oṣe	M	Òṣé (hissing)	ọṣẹ	M	soap	consonant_s_vs_sh	Y	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-007	YMPTS-D-008	D	aṣòfin	L	lawmaker; legislator; member of parliament (post-alveolar ṣ)	asòfin	L	lawmaker; legislator (alveolar s, variant)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-008	YMPTS-D-010	D	san	M	to pay; to repay; to recover	ṣan	M	to be watery; to flow into; to cut down bush or forest				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-009	YMPTS-D-011	D	sin	M	to bury; to accompany; to conceal; to string; to sneeze	ṣin	M	deeply; to wash; to rinse				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-010	YMPTS-D-013	D	sẹ	M	to err; to miss; to go wrong (alveolar s, ẹ vowel)	ṣẹ	M	to accomplish; to fulfil; to carry out (post-alveolar ṣ, ẹ vowel)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-011	YMPTS-D-014	D	soro	M	Sorọ̀ (to hang as to swing; suspend)	ṣoro	M	to be difficult; to be hard; to be tough (post-alveolar ṣ)				consonant_s_vs_sh	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-D-012	YMPTS-D-015	D	osupa	M	moon (alveolar s, undiacritized variant)	oṣupa	M	moon; the lunar body (post-alveolar ṣ, standard form)				consonant_s_vs_sh	N	merged	1	N	Adjudicated. the proper form is Òsùpá (moon)
YMPTS-E-001	B3-E-004	E	àgbára	LH	power; strength; force — gb-internal	àbàrá	LLH	slap				gb_digraph	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-002	B3-E-006	E	gbà	L	to receive	bà	L	to perch				gb_digraph	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-003	B3-E-007	E	igbe	M	cry; shout	ibẹ̀	L	there; that place (b-internal, ẹ vowel)				gb_digraph	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-004	B3-E-008	E	àgbà	LL	elder; senior; barrel — gb-internal	àbá	LH	suggestion; idea; proposal (b-internal)				gb_digraph	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-005	B3-E-009	E	àgbẹ̀	LL	farmer — gb-internal, ẹ vowel	abẹ	M	razor blade; below; underneath (b-internal, ẹ vowel)				gb_digraph	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-006	YMPTS-E-001	E	ga	M	to be tall; to be high; to excel (g-initial)	gba	M	to accept; to receive; to agree; to take (gb-initial)				gb_digraph	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-007	YMPTS-E-002	E	ge	M	to cut; to harvest; to trim (g-initial)	gbé	H	to carry; to lift; to take away (gb-initial, high tone)				gb_digraph	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-008	YMPTS-E-003	E	go	M	gọ̀ (to puzzle; stupid)	gbó	H	to hear; to be old; aged (gb-initial)				gb_digraph	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-009	YMPTS-E-004	E	gbó	H	to hear; to be old; to be aged (gb-initial)	bó	H	to peel; to fall off; to come off (b-initial, high tone)				gb_digraph	N	merged	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-010	YMPTS-E-005	E	gbà	L	to collect; to accept	bà	L	to catch				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-011	YMPTS-E-007	E	ìgbà	LL	time; era; period; when; calabash gourd (internal gb)	ìbà	LL	greeting; tribute; fever; homage (internal b)				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-012	YMPTS-E-008	E	àgbà	LL	elder; senior person; old person; barrel (internal gb)	àbà	LL	hut				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-013	YMPTS-E-009	E	àgbẹ	L	farmer; cultivator; one who farms (internal gb, ẹ vowel)	abẹ	M	razor blade; knife; below; underneath (internal b, ẹ vowel)				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-014	YMPTS-E-010	E	egbé	H	Ẹgbẹ́ (group; age-mate; colleague)	ebé	H	Ẹ̀bẹ̀ (plea; request; a pile)				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-015	YMPTS-E-014	E	Ìgbẹ́	LH	forest; bush; wilderness; jungle (internal gb, ẹ vowel)	Ibẹ̀	L	there; over there; that place (internal b, ẹ vowel)				gb_digraph	N	cde	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-E-016	YMPTS-E-006	E	gbó	H	to hear; to be old; aged (gb-initial)	bó	H	to peel; to fall off; to come off (b-initial, high tone)				gb_digraph	N	cde	1	N	Adjudicated.
YMPTS-E-017	YMPTS-E-013	E	ègbé	LH	Ègbé (damnation; woe)	èbé	LH	plea; supplication; edge of a river (internal b, low tone)				gb_digraph	N	cde	1	N	Adjudicated.
YMPTS-E-018	YMPTS-E-016	E	àgbá	LH	barrel; drum container; elder (internal gb, high tone)	àbá	LH	suggestion; idea; hunch; instinct (internal b, high tone)				gb_digraph	N	cde	1	N	Adjudicated.
YMPTS-E-019	YMPTS-E-017	E	ìgbẹ́	LH	forest; bush (internal gb, high tone on ẹ)	ìbẹ́	LH	a type of oil; palm kernel oil product (internal b, high tone)				gb_digraph	N	cde	1	N	Adjudicated.
